연번,업체명,대표자명(익명),벤처확인유형,지역,주소,업종분류(기보),업종명(11차),주생산품,벤처유효시작일,벤처유효종료일,벤처확인기관,신규_재확인
1,제넥스 주식회사,진**,혁신성장유형,경남,경상남도 창원시,제조업,기타 광학기기 및 사진기 제조업,광학기기 외,2023-06-07,2026-06-06,벤처기업확인기관,신규
2,주식회사 디플리,이**,혁신성장유형,서울,서울특별시 마포구,정보처리S/W,그 외 기타 정보 서비스업,소프트웨어,2023-06-07,2026-06-06,벤처기업확인기관,재확인
3,㈜한국모니터링시스템,이**,연구개발유형,서울,서울특별시 영등포구,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,용접모니터링제품 LVS LM,2023-06-14,2026-06-13,벤처기업확인기관,재확인
4,동양엠앤에스 주식회사,이**,혁신성장유형,인천,인천광역시 남동구,기타,사업시설 유지관리 서비스업,주차승강기 유지보수관리,2023-06-07,2026-06-06,벤처기업확인기관,신규
5,㈜트루퍼스아시아,이**,벤처투자유형,서울,서울특별시 강남구,제조업,화장품 제조업,화장품 및 섬유탈취제,2024-04-30,2027-04-29,벤처기업확인기관,신규
6,주식회사 지에스,최**,혁신성장유형,경기,경기도 용인시,제조업,그 외 기타 특수목적용 기계 제조업,"계량시스템 및 전자저울, 자동화장비, 로드셀 외",2023-05-31,2026-05-30,벤처기업확인기관,재확인
7,주식회사 제민아이티,이**,혁신성장유형,서울,서울특별시 강서구,정보처리S/W,시스템 소프트웨어 개발 및 공급업,자동제어방치 및 부품,2023-08-23,2026-08-22,벤처기업확인기관,신규
8,티씨에스아이엔씨 주식회사,조**,혁신성장유형,경기,경기도 부천시,제조업,기타 가공 공작기계 제조업,프린터 지그 및 잉크세정액,2023-05-17,2026-05-16,벤처기업확인기관,신규
9,㈜데브,윤**,연구개발유형,경기,경기도 안산시,제조업,비디오 및 기타 영상기기 제조업,비전 검사기,2023-05-31,2026-05-30,벤처기업확인기관,재확인
10,주식회사에코테크,배**,혁신성장유형,경기,경기도 화성시,제조업,일반용 도료 및 관련제품 제조업,토너카트리지외,2023-06-22,2026-06-21,벤처기업확인기관,재확인
11,주식회사 디보,강**,혁신성장유형,경남,경상남도 진주시,기타,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",의생명정보 수집 어플리케이션,2023-05-17,2026-05-16,벤처기업확인기관,신규
12,엘림랜드 주식회사,조**,혁신성장유형,경기,경기도 남양주시,도소매업,사료 도매업,생균제,2023-05-31,2026-05-30,벤처기업확인기관,신규
13,주식회사 시스템케이,이**,혁신성장유형,경기,경기도 구리시,제조업,기타 무선 통신장비 제조업,"RFID READER, TAG, Magazine 제조",2023-05-17,2026-05-16,벤처기업확인기관,재확인
14,리버밴스 주식회사,이**,혁신성장유형,광주,광주광역시 북구,정보처리S/W,기타 정보기술 및 컴퓨터운영 관련 서비스업,응용소프트웨어 개발 및 공급,2023-05-24,2026-05-23,벤처기업확인기관,신규
15,주식회사 엠피알브레인,안**,혁신성장유형,경기,경기도 고양시,제조업,화장품 제조업,화장품,2023-05-10,2026-05-09,벤처기업확인기관,재확인
16,주식회사 루켄,이**,연구개발유형,경기,경기도 성남시,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,"인공지능기술개발업, 모바일어플리케이션개발 및 통합관리업 , 소프트웨어개발 및 공급업",2023-05-17,2026-05-16,벤처기업확인기관,신규
17,주식회사 휴먼터치랩,김**,연구개발유형,서울,서울특별시 성동구,기타,기타 교육지원 서비스업,"취업교육, 취업알선,  경영컨설팅, 인터넷 직업정보 서비스,  교재/교구 개발 판매",2023-06-07,2026-06-06,벤처기업확인기관,신규
18,주식회사 볼시스,강**,혁신성장유형,부산,부산광역시 영도구,제조업,기타 무선 통신장비 제조업,수중 광무선 통신 모뎀,2023-05-24,2026-05-23,벤처기업확인기관,재확인
19,주식회사 이노메트리,이**,혁신성장유형,경기,경기도 화성시,제조업,산업처리공정 제어장비 제조업,2차전지 Xray 검사장비,2023-06-21,2026-06-20,벤처기업확인기관,재확인
20,주식회사 레디포스트,곽**,혁신성장유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"전자서명, 전자등기, 전자투표등을 통한 비대면 조합 총회 의결지원 서비스",2023-05-03,2026-05-02,벤처기업확인기관,신규
21,주식회사 본엘이비건설,김**,혁신성장유형,서울,서울특별시 송파구,건설운수,기타 비주거용 건물 건설업,조립식건축,2023-05-24,2026-05-23,벤처기업확인기관,신규
22,㈜퍼블릭에이아이,김**,연구개발유형,서울,서울특별시 서초구,기타,기타 전문 서비스업,"AI 교육 콘텐츠, AI 솔루션",2023-07-19,2026-07-18,벤처기업확인기관,재확인
23,주식회사 아이네블루메,최**,벤처투자유형,서울,서울특별시 강남구,정보처리S/W,포털 및 기타 인터넷 정보매개 서비스업,채팅형 소설 플랫폼,2023-05-31,2026-05-30,벤처기업확인기관,재확인
24,주식회사 글로벌메카솔루션,권**,혁신성장유형,경기,경기도 수원시,제조업,비메모리용 및 기타 전자집적회로 제조업,"실장검사장치, 반도체 ",2023-07-05,2026-07-04,벤처기업확인기관,신규
25,주식회사 이노,임**,혁신성장유형,경기,경기도 안산시,제조업,주형 및 금형 제조업,"목금형,전자부품,전자상거래소매업",2023-05-31,2026-05-30,벤처기업확인기관,신규
26,보성KOREA,김**,혁신성장유형,충남,충청남도 천안시,제조업,기타 종이 및 판지 제조업,종이손잡이,2023-07-05,2026-07-04,벤처기업확인기관,신규
27,주식회사 아몽(AMONG Co. ),박**,혁신성장유형,경기,경기도 과천시,연구개발서비스,농림수산학 및 수의학 연구개발업,건강기능식품,2023-05-31,2026-05-30,벤처기업확인기관,재확인
28,컴파이드 주식회사,정**,혁신성장유형,경기,경기도 용인시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,AI기반 부품 자동 설계 플랫폼,2023-05-31,2026-05-30,벤처기업확인기관,신규
29,(주)이에스기술연구소,민**,혁신성장유형,경기,경기도 군포시,제조업,그 외 기타 식료품 제조업,"색소,향료,식품첨가물",2023-06-28,2026-06-27,벤처기업확인기관,재확인
30,㈜이브이파트너스,송**,연구개발유형,대전,대전광역시 유성구,제조업,기타 전기 변환장치 제조업,전기자동차 충전기,2023-06-21,2026-06-20,벤처기업확인기관,신규
31,주식회사 도음,서**,혁신성장유형,서울,서울특별시 송파구,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,프로그램개발,2023-06-07,2026-06-06,벤처기업확인기관,신규
32,주식회사 생명과기술,김**,혁신성장유형,경기,경기도 평택시,제조업,농업 및 임업용 기계 제조업,농산물 선별기,2023-06-07,2026-06-06,벤처기업확인기관,재확인
33,주식회사 스마트해썹앤팩토리,김**,혁신성장유형,경남,경상남도 진주시,정보처리S/W,시스템 소프트웨어 개발 및 공급업,스마트공장 MES 제공 및 구축,2023-05-24,2026-05-23,벤처기업확인기관,신규
34,주식회사 그랜드아이테크놀러지,김**,연구개발유형,서울,서울특별시 금천구,제조업,메모리용 전자집적회로 제조업,주거용자동소화장치,2023-05-31,2026-05-30,벤처기업확인기관,재확인
35,주식회사 도건이엔텍,"최**,이**",혁신성장유형,서울,서울특별시 송파구,건설운수,"보링, 그라우팅 및 관정 공사업",공사 헬리컬파일 DIB,2023-06-21,2026-06-20,벤처기업확인기관,재확인
36,주식회사 지엔,조**,혁신성장유형,서울,서울특별시 금천구,정보처리S/W,응용 소프트웨어 개발 및 공급업,IoT 디바이스 보안 취약점 자동화 점검 솔루션,2023-05-03,2026-05-02,벤처기업확인기관,신규
37,㈜콤프코리아,이**,혁신성장유형,경기,경기도 화성시,제조업,기체 펌프 및 압축기 제조업,공기압축기 및 제습장치,2023-05-24,2026-05-23,벤처기업확인기관,재확인
38,㈜르키드,홍**,혁신성장유형,서울,서울특별시 금천구,제조업,그 외 기타 의료용 기기 제조업,미용의료기기,2023-05-31,2026-05-30,벤처기업확인기관,재확인
39,㈜킴스제약,김**,혁신성장유형,서울,서울특별시 마포구,제조업,합성의약품 및 기타 완제 의약품 제조업,전문의약품,2023-07-12,2026-07-11,벤처기업확인기관,재확인
40,주식회사 서천김에프엠비,천**,혁신성장유형,충남,충청남도 서천군,제조업,수산식물 가공 및 저장 처리업,화입 김,2023-06-08,2026-06-07,벤처기업확인기관,신규
41,주식회사 엔모션,최**,연구개발유형,인천,인천광역시 연수구,연구개발서비스,전기ㆍ전자공학 연구개발업,전기차 진단 서비스앱,2023-05-17,2026-05-16,벤처기업확인기관,신규
42,주식회사 지아소프트,송**,혁신성장유형,서울,서울특별시 송파구,정보처리S/W,컴퓨터 프로그래밍 서비스업,전국민 안전지킴이 &quot;도와줘&quot; 어플리케이션,2023-05-31,2026-05-30,벤처기업확인기관,신규
43,비엠씨랩 주식회사,박**,혁신성장유형,경기,경기도 안양시,정보처리S/W,시스템 소프트웨어 개발 및 공급업,아파트 방문주차관리시스템,2023-05-24,2026-05-23,벤처기업확인기관,신규
44,㈜신보,유**,연구개발유형,경기,경기도 안양시,제조업,기타 전기 변환장치 제조업,방산용 전원공급장치 외,2023-05-24,2026-05-23,벤처기업확인기관,재확인
45,주식회사 똑똑한개발자,서**,혁신성장유형,서울,서울특별시 마포구,정보처리S/W,응용 소프트웨어 개발 및 공급업,기술개발,2023-05-31,2026-05-30,벤처기업확인기관,신규
46,미러 주식회사,권**,혁신성장유형,서울,서울특별시 광진구,정보처리S/W,포털 및 기타 인터넷 정보매개 서비스업,"소프트웨어,디지털콘텐츠",2023-06-14,2026-06-13,벤처기업확인기관,신규
47,주식회사 에이알브릿지,정**,연구개발유형,대전,대전광역시 유성구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"영상 솔루션(영상 응용 소프트웨어, 콘텐츠 등)",2023-06-07,2026-06-06,벤처기업확인기관,신규
48,주식회사 메드픽쳐스,황**,혁신성장유형,서울,서울특별시 강남구,기타,방송 프로그램 제작업,방송프로그램 제작 및 공급,2023-05-03,2026-05-02,벤처기업확인기관,신규
